0sec - 10sec;299
10sec - 20sec;78
20sec - 30sec;61
30sec - 40sec;22
40sec - 50sec;16
50sec - 60sec;61
60sec - 70sec;4
70sec - 80sec;4
80sec - 90sec;16
90sec - 100sec;21
100sec - 110sec;4
110sec - 120sec;25
120sec - 130sec;77
130sec - 140sec;11
140sec - 150sec;0
150sec - 160sec;9
160sec - 170sec;14
170sec - 180sec;2
180sec - 190sec;73
190sec - 200sec;5
200sec - 210sec;31
210sec - 220sec;78
220sec - 230sec;7
230sec - 240sec;12
